text,label
"با سلام، - ℤ𝕖𝕣𝕠 محترم! 👋🏻  به گروه برنامه نویسی | ++C خوش آمدید! 🌷  برای شما آرزوی تجربه لذت بخشی در طول حضورتان در اینجا داریم. ❤️",1
"👮🏻⏰ ساعت خاموشی غیرفعال شده است.  ساعت خاموشی بعدی در 00:00 آغاز خواهد شد.",0
"⏰😴 ساعت خاموشی با موفقیت فعال شد.  این گروه در حال حاضر از 00:00 تا 08:00 در حالت خاموشی است.  برای داشتن محیطی آرام لطفا از ارسال هرگونه پیام در این مدت خودداری فرمایید.",0
"سلام یه سوال داشتم کسی هس کمکم کنه؟",0
"ریاضیاتشم بگن  خوبه میشه پیاده سازیش کرد حالا با هر زبانی.... مثلا پایتون باشه ولی کتابخانه اماده نباشه با ریاضی جلو بره یا متلب...",1
"خیر من خودم خیلی دنبالش بودم به اینگلیسی هم کمه چ برسه ب فارسیش",0
"وی اس کد از فارسی پشتیبانی نمیکنه عزیز  بهترین برای فارسی اسپایدر هست",1
"سلام وقت بخیر اموزشی دارین یادگیری ماشین رو با  c++ یا c بگه ترجیحا فارسی زبان",1
"من بعد از مدتی ان شدم گروه در اختیارم نبوده اطلاعی ندارم 🤔🤷‍♂",0
"نمیدونم  شاید تو بدونی عزیز",0
"مشکلی پیش امده عزیز 🤔",0
"این گپ انگار واسه سی پلاس پلاس نیست",1
"Toronto wala Hanoz Hasten Ya Rafetn?",0
"سلام.در برنامه VS Code فارسی رو برعکس مینویسه هر کار کردم درست نشد اکستنشن راست چین هم نصب کردم نشد.کسی راه حلی بلده؟",1
"سلام  کسی میدونه ک میتونم نسخه های ممبرگیر رو مود کنم یا نه مثلا کافه ایتا و این چیزا  میشه یا نه؟ چطوری؟",1
"من منبع فارسی نمیدونم",0
"اخه بلد نیستم",0
"خیر   بنظرم محتوای آموزشی انگلیسی خیلی بهتره اگه بعدا ها هم خواستید داکیومنت بخونید اونجا هم خیلی انگلیسی قراره بدرد بخوره",1
"چنلی سراغ نداری فارسی باشه؟",0
"دمت گرم",0
"همشون رو از چنل یوتیوب freecodecamp ببین",1
